Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC3,04/08/18,Annan Athletic,Elgin,1,1,D,0,0,D,C Napier,12,15,3,8,15,11,4,5,0,2,0,0,2.5,3.5,2.62,2.3,3.4,2.6,2.3,3.4,2.65,2.37,3.25,2.65,2.44,3.63,2.79,2.5,3.4,2.75,2.5,3.5,2.75,36,2.5,2.37,3.7,3.44,2.79,2.65,31,1.76,1.71,2.15,2.03,13,0,1.82,1.77,2.06,2,1.82,4.1,4.11
SC3,04/08/18,Berwick,Stirling,1,0,H,0,0,D,C Graham,12,9,8,2,9,11,2,4,0,0,0,0,3.1,3.5,2.2,2.95,3.4,2.1,2.9,3.45,2.15,3,3.3,2.15,3.01,3.86,2.21,3.1,3.5,2.2,3.13,3.6,2.2,36,3.1,2.97,3.86,3.5,2.21,2.14,32,1.72,1.66,2.25,2.11,14,0.25,1.93,1.88,1.94,1.89,3.83,3.74,1.97
SC3,04/08/18,Clyde,Cowdenbeath,2,0,H,2,0,H,D Smith,11,3,4,3,7,15,12,4,0,4,0,0,1.61,4,5,1.53,3.9,5,1.6,3.85,4.65,1.6,3.75,4.8,1.64,4.06,5.33,1.67,4,4.8,1.65,4,5.25,36,1.67,1.59,4.2,3.91,5.33,4.82,32,1.67,1.63,2.3,2.16,13,-1,2.13,2.03,1.8,1.74,1.79,3.81,4.63
SC3,04/08/18,Edinburgh City,Albion Rvs,4,0,H,1,0,H,D Williams,9,3,8,2,9,15,2,0,1,1,0,0,1.57,3.8,6,1.62,3.7,4.5,1.55,3.8,5,1.57,3.75,5,1.63,3.9,5.78,1.65,4,5,1.62,4,5.5,37,1.65,1.58,4.2,3.85,6,5.08,31,1.75,1.69,2.14,2.06,14,-0.75,1.78,1.74,2.11,2.04,1.57,4.24,6.13
SC3,04/08/18,Peterhead,Queens Park,1,1,D,1,1,D,K Graham,10,5,5,2,15,12,7,2,1,2,0,0,1.95,3.6,3.6,1.85,3.5,3.5,1.9,3.45,3.55,1.91,3.4,3.5,1.95,3.69,3.85,2.05,3.5,3.5,1.95,3.6,3.8,35,2.05,1.91,3.7,3.51,3.85,3.55,31,1.8,1.73,2.15,2.01,12,-0.5,1.99,1.92,1.9,1.85,1.9,3.81,4.03
SC3,11/08/18,Albion Rvs,Peterhead,0,4,A,0,1,A,G Irvine,6,18,1,10,15,13,0,5,0,0,0,0,6,4.33,1.5,5,4.1,1.5,5.25,4.3,1.45,5.5,4,1.5,5.91,4.73,1.51,5,4,1.53,6,4.5,1.5,35,6,5.29,4.73,4.26,1.55,1.5,29,1.58,1.55,2.4,2.33,16,1,2.03,1.96,1.87,1.81,7.2,5.3,1.41
SC3,11/08/18,Cowdenbeath,Annan Athletic,1,2,A,1,1,D,S Millar,8,5,4,3,14,11,8,4,2,2,0,0,2.62,3.5,2.5,2.4,3.6,2.4,2.65,3.25,2.4,2.55,3.2,2.5,2.8,3.51,2.49,2.45,3.6,2.45,2.7,3.4,2.6,34,2.8,2.59,3.6,3.37,2.6,2.45,30,1.93,1.85,1.95,1.89,16,0,2.05,1.92,1.92,1.86,2.4,3.62,2.91
SC3,11/08/18,Elgin,Edinburgh City,1,0,H,0,0,D,B Cook,8,14,3,4,16,16,1,5,2,4,0,0,2.3,3.5,2.9,2.2,3.6,2.65,2.3,3.4,2.75,,,,2.36,3.57,2.94,2.4,3.6,2.5,2.4,3.6,2.8,32,2.48,2.3,3.75,3.45,2.94,2.75,27,1.81,1.73,2.1,2.02,16,0,1.81,1.73,2.16,2.06,2.26,3.62,3.15
SC3,11/08/18,Queens Park,Berwick,1,0,H,1,0,H,L Wilson,14,14,4,5,7,6,5,8,3,0,0,0,1.75,3.8,4.33,1.8,3.7,3.5,1.7,3.7,4.15,1.75,3.5,4.2,1.78,3.97,4.34,1.83,3.8,3.5,1.75,3.8,4.5,34,1.83,1.74,4.04,3.71,4.5,4.07,28,1.8,1.73,2.1,2.02,13,-0.75,2.02,1.96,1.87,1.81,1.65,4.42,4.93
SC3,11/08/18,Stirling,Clyde,0,3,A,0,2,A,D Lowe,3,4,2,1,8,8,3,4,3,2,0,0,2.8,3.6,2.3,2.6,3.7,2.2,2.8,3.45,2.2,2.8,3.3,2.25,2.89,3.94,2.25,2.5,3.75,2.3,2.8,3.6,2.4,35,2.89,2.74,4.04,3.55,2.4,2.24,29,1.72,1.67,2.2,2.1,16,0,2.22,2.08,1.81,1.73,3.16,4.07,2.1
