Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC1,04/08/18,Ayr,Partick,2,0,H,2,0,H,C Thomson,11,8,4,4,6,13,4,3,1,2,0,0,2.62,3.4,2.54,2.55,3.25,2.45,2.6,3.15,2.45,2.6,3.2,2.55,2.75,3.28,2.74,2.62,3.4,2.6,2.75,3.4,2.55,33,2.8,2.61,3.45,3.26,2.74,2.55,30,1.95,1.88,1.96,1.86,11,0,2,1.92,1.94,1.86,2.77,3.29,2.72
SC1,04/08/18,Dundee United,Dunfermline,2,3,A,1,0,H,W Collum,7,11,5,5,13,14,2,6,2,3,0,0,2.5,3.3,2.75,2.25,3.2,2.8,2.45,3.1,2.65,2.55,3.1,2.7,2.75,3.28,2.74,2.6,3.2,2.75,2.55,3.3,2.8,33,2.75,2.51,3.3,3.18,2.95,2.71,30,2.16,2.03,1.84,1.73,12,0,1.95,1.83,2.1,1.93,2.74,3.29,2.75
SC1,04/08/18,Falkirk,Inverness C,0,1,A,0,1,A,S McLean,6,9,1,2,8,15,7,4,1,3,0,0,2.7,3.4,2.5,2.4,3.2,2.65,2.6,3.1,2.45,2.7,3.1,2.55,2.83,3.33,2.64,2.62,3.25,2.7,2.8,3.3,2.55,32,2.83,2.64,3.41,3.23,2.7,2.54,30,2.2,2.06,1.8,1.71,13,0,2.02,1.94,1.92,1.83,2.83,3.34,2.63
SC1,04/08/18,Morton,Queen of Sth,2,2,D,0,0,D,G Duncan,3,6,2,3,13,11,4,5,3,3,0,0,2.25,3.5,3,2.15,3.3,2.9,2.15,3.15,3.05,2.2,3.25,3.1,2.27,3.62,3.17,2.25,3.25,3.25,2.25,3.5,3.13,33,2.27,2.2,3.63,3.36,3.25,3.04,30,2.05,1.91,1.97,1.84,13,-0.25,1.97,1.91,1.94,1.87,2.36,3.56,3.05
SC1,04/08/18,Ross County,Alloa,1,0,H,0,0,D,M Roncone,16,5,7,0,11,8,6,3,1,1,0,0,1.3,5,9.5,1.36,4.75,6,1.31,4.55,8,1.33,4.75,9,1.34,5.34,9.78,1.36,4.8,8.5,1.33,5,10,33,1.42,1.33,5.34,4.82,9.78,8.34,29,1.75,1.69,2.25,2.09,12,-1.25,1.81,1.73,2.2,2.06,1.34,5.59,9.45
SC1,11/08/18,Alloa,Morton,0,2,A,0,1,A,A Newlands,11,11,2,6,16,6,9,1,2,2,0,0,3,3.5,2.25,2.7,3.2,2.35,2.9,3.2,2.2,3,3.2,2.25,3.2,3.48,2.27,2.9,3.4,2.2,3.1,3.4,2.3,34,3.2,2.94,3.5,3.32,2.37,2.26,30,1.99,1.89,1.91,1.85,16,0.25,1.92,1.84,2.02,1.95,3.41,3.52,2.19
SC1,11/08/18,Dunfermline,Ross County,1,3,A,1,2,A,C Thomson,6,9,3,7,12,11,7,5,2,1,0,0,2.3,3.4,3,2.3,3.1,2.85,2.3,3.15,2.75,2.35,3.2,2.87,2.37,3.47,3.02,2.5,3.3,2.6,2.45,3.4,2.9,34,2.5,2.35,3.47,3.27,3.02,2.83,29,2,1.91,1.94,1.84,16,0,1.79,1.73,2.18,2.08,2.09,3.73,3.48
SC1,11/08/18,Inverness C,Ayr,0,0,D,0,0,D,A Dallas,14,7,3,2,16,6,6,1,2,1,0,1,1.8,3.6,4.33,1.75,3.3,4.25,1.75,3.5,3.9,1.83,3.6,3.9,1.85,3.95,4.09,1.75,3.4,4.33,1.83,3.7,4.3,34,1.88,1.8,3.95,3.57,4.33,4,28,1.75,1.71,2.18,2.06,15,-0.75,2.13,2.06,1.78,1.74,2.12,3.6,3.55
SC1,11/08/18,Partick,Falkirk,2,1,H,2,0,H,K Clancy,10,10,3,4,9,7,5,5,1,2,0,0,2.04,3.5,3.4,1.9,3.25,3.6,1.97,3.3,3.35,2.05,3.25,3.4,2.04,3.53,3.75,1.95,3.3,3.75,2.05,3.5,3.6,33,2.1,2.02,3.53,3.37,3.75,3.45,28,2.02,1.92,1.91,1.82,14,-0.5,2.11,2.03,1.83,1.76,1.8,3.98,4.45
SC1,11/08/18,Queen of Sth,Dundee United,1,2,A,0,2,A,S Kirkland,10,7,4,3,8,9,2,7,3,3,0,0,2.75,3.4,2.45,2.7,3.2,2.35,2.65,3.25,2.35,2.62,3.3,2.45,2.75,3.51,2.56,2.9,3.3,2.25,2.75,3.4,2.55,34,2.9,2.69,3.51,3.31,2.56,2.44,31,1.86,1.78,2.07,1.97,16,0,2.02,1.96,1.9,1.83,2.51,3.38,2.96
