Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS
E0,09/08/2019,Liverpool,Norwich,4,1,H,4,0,H,1.15,9.59,18.05,4-0,4-1
E0,10/08/2019,West Ham,Man City,0,5,A,0,1,A,11.68,6.53,1.26,0-1,0-5
E0,10/08/2019,Bournemouth,Sheffield United,1,1,D,0,0,D,2.04,3.57,3.9,0-0,1-1
E0,10/08/2019,Burnley,Southampton,3,0,H,0,0,D,2.71,3.31,2.81,0-0,3-0
E0,10/08/2019,Crystal Palace,Everton,0,0,D,0,0,D,3.21,3.37,2.39,0-0,0-0
E0,10/08/2019,Watford,Brighton,0,3,A,0,1,A,1.98,3.44,4.37,0-1,0-3
E0,10/08/2019,Tottenham,Aston Villa,3,1,H,0,1,A,1.3,5.84,10.96,0-1,3-1
E0,11/08/2019,Leicester,Wolves,0,0,D,0,0,D,2.21,3.34,3.66,0-0,0-0
E0,11/08/2019,Newcastle,Arsenal,0,1,A,0,0,D,4.58,3.93,1.81,0-0,0-1
E0,11/08/2019,Man United,Chelsea,4,0,H,1,0,H,2.21,3.37,3.63,1-0,4-0
E0,17/08/2019,Arsenal,Burnley,2,1,H,1,1,D,1.34,5.68,9.35,1-1,2-1
E0,17/08/2019,Aston Villa,Bournemouth,1,2,A,0,2,A,2.32,3.56,3.17,0-2,1-2
E0,17/08/2019,Brighton,West Ham,1,1,D,0,0,D,2.58,3.38,2.92,0-0,1-1
E0,17/08/2019,Everton,Watford,1,0,H,1,0,H,1.76,3.95,4.87,1-0,1-0
E0,17/08/2019,Norwich,Newcastle,3,1,H,1,0,H,2.25,3.42,3.44,1-0,3-1
E0,17/08/2019,Southampton,Liverpool,1,2,A,0,1,A,7.04,4.72,1.48,0-1,1-2
E0,17/08/2019,Man City,Tottenham,2,2,D,2,1,H,1.37,5.42,8.71,2-1,2-2
E0,18/08/2019,Sheffield United,Crystal Palace,1,0,H,0,0,D,2.6,3.21,3.02,0-0,1-0
E0,18/08/2019,Chelsea,Leicester,1,1,D,1,0,H,1.74,3.79,5.28,1-0,1-1
E0,19/08/2019,Wolves,Man United,1,1,D,0,1,A,3.4,3.29,2.33,0-1,1-1
E0,23/08/2019,Aston Villa,Everton,2,0,H,1,0,H,3.22,3.54,2.31,1-0,2-0
E0,24/08/2019,Norwich,Chelsea,2,3,A,2,2,D,4.13,4.07,1.85,2-2,2-3
E0,24/08/2019,Brighton,Southampton,0,2,A,0,0,D,2.45,3.28,3.18,0-0,0-2
