Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC0,04/08/18,Celtic,Livingston,3,1,H,2,0,H,N Walsh,21,6,10,1,11,10,12,3,1,3,0,0,1.1,11,21,1.1,9,20,1.12,8,16,1.12,8.5,29,1.11,10,28.17,1.1,10,19,1.12,9,22,39,1.14,1.11,11,8.76,29,21.5,34,1.48,1.42,2.8,2.71,18,-2.25,1.93,1.88,2.01,1.94,1.15,8.66,26.22
SC0,04/08/18,Hamilton,Hearts,1,4,A,1,1,D,A Dallas,6,20,1,10,18,10,3,6,2,2,0,0,3.5,3.4,2.04,3.5,3.4,2.05,3.6,3.3,2,3.75,3.25,2.05,3.78,3.61,2.04,3.75,3.4,1.95,3.6,3.5,2.05,38,3.82,3.63,3.61,3.35,2.1,2.03,37,2.2,2.11,1.77,1.7,18,0.25,2.16,2.06,1.82,1.76,5.13,3.78,1.76
SC0,04/08/18,Kilmarnock,St Johnstone,2,0,H,0,0,D,J Beaton,17,3,6,2,13,14,8,1,1,3,0,0,2.04,3.3,3.6,2.05,3.25,3.7,2,3.3,3.6,2.05,3.1,3.8,2.08,3.37,3.92,2,3.2,3.6,2.05,3.3,3.8,39,2.11,2.04,3.4,3.24,3.92,3.71,35,2.45,2.29,1.63,1.59,17,-0.5,2.09,2.04,1.83,1.8,2.17,3.21,3.95
SC0,04/08/18,St Mirren,Dundee,2,1,H,1,1,D,A Muir,12,10,4,5,13,18,9,6,3,1,0,0,2.5,3.25,2.8,2.35,3.2,3,2.4,3.3,2.75,2.6,3,2.87,2.57,3.32,2.92,2.5,3.3,2.8,2.55,3.2,2.88,40,2.63,2.52,3.32,3.14,3,2.85,36,2.45,2.31,1.64,1.58,18,-0.25,2.25,2.16,1.74,1.69,2.62,3.4,2.86
SC0,05/08/18,Aberdeen,Rangers,1,1,D,0,1,A,K Clancy,6,8,1,3,12,11,4,2,3,2,0,1,3.1,3.25,2.3,3,3.3,2.3,2.75,3.3,2.4,3.1,3.2,2.35,3.07,3.49,2.37,2.9,3.4,2.38,3,3.3,2.3,39,3.25,3.01,3.49,3.27,2.45,2.32,36,2.17,2.06,1.8,1.72,18,0.25,1.89,1.83,2.07,1.99,3.7,3.55,2.11
SC0,05/08/18,Hibernian,Motherwell,3,0,H,2,0,H,B Madden,12,6,4,2,11,9,0,5,1,2,0,0,1.8,3.6,4.33,1.8,3.5,4.4,1.8,3.5,4.2,1.8,3.5,4.5,1.81,3.79,4.63,1.8,3.75,4.2,1.8,3.6,4.2,38,1.85,1.8,3.79,3.54,4.63,4.31,37,2.07,1.99,1.88,1.79,17,-0.75,2.13,2.06,1.82,1.76,1.78,3.9,4.84
SC0,11/08/18,Dundee,Aberdeen,0,1,A,0,0,D,B Madden,11,15,1,3,12,15,8,12,1,3,0,0,3.4,3.4,2.1,3.6,3.3,2.05,3.65,3.25,2,3.7,3.2,2.1,3.88,3.43,2.07,3.6,3.4,2.05,3.6,3.4,2.1,36,3.88,3.62,3.43,3.29,2.15,2.06,32,2.25,2.13,1.73,1.68,17,0.25,2.14,2.06,1.82,1.76,3.74,3.54,2.1
SC0,11/08/18,Hearts,Celtic,1,0,H,0,0,D,J Beaton,14,13,7,4,18,7,0,4,5,2,0,0,5.5,4,1.57,5.75,4.1,1.53,5.1,3.9,1.6,5.5,3.9,1.6,5.58,4.2,1.65,5,4.2,1.6,5.4,4.1,1.62,36,6,5.33,4.2,4.01,1.65,1.59,33,1.84,1.76,2.11,2.01,19,1,1.85,1.78,2.13,2.03,5.91,3.78,1.69
SC0,11/08/18,Livingston,Kilmarnock,0,0,D,0,0,D,G Duncan,7,7,3,2,16,7,3,3,1,2,0,0,3.2,3.3,2.25,3.2,3.2,2.25,3.25,3.1,2.2,3.3,3.1,2.25,3.41,3.37,2.26,3.2,3.3,2.25,3.3,3.3,2.25,37,3.5,3.27,3.37,3.17,2.3,2.24,32,2.37,2.26,1.64,1.6,18,0.25,1.96,1.89,1.98,1.93,3.85,3.36,2.14
SC0,11/08/18,Motherwell,Hamilton,0,1,A,0,0,D,N Walsh,13,6,4,2,13,14,4,2,3,2,0,0,1.61,3.8,5.5,1.62,3.6,5.75,1.6,3.7,5.4,1.61,3.6,5.8,1.63,4.09,5.71,1.62,3.8,5.5,1.62,3.8,6,36,1.67,1.62,4.09,3.73,6,5.58,32,2.17,2.09,1.75,1.71,18,-0.75,1.83,1.79,2.14,2.04,1.62,3.85,6.75
